word	lemma	pos	wordfreq	lemfreq
dies	die	v	13763	264537
food	food	n	230138	262697
foods	food	n	32559	262697
else	else	r	261804	261804
history	history	n	253399	261045
histories	history	n	7646	261045
buy	buy	v	143700	260201
bought	buy	v	69753	260201
buying	buy	v	40068	260201
buys	buy	v	6676	260201
results	result	n	148716	259961
result	result	n	111245	259961
morning	morning	n	252813	259129
mornings	morning	n	6277	259129
morn-ing	morning	n	39	259129
off	off	i	258851	258852
parents	parent	n	214379	258181
parent	parent	n	43802	258181
office	office	n	233912	258157
offices	office	n	24184	258157
off-ice	office	n	61	258157
course	course	r	257245	257245
sent	send	v	114259	256309
send	send	v	95100	256309
sending	send	v	33935	256309
sends	send	v	13003	256309
sended	send	v	12	256309
research	research	n	254594	255123
researches	research	n	529	255123
walk	walk	v	92188	253671
walked	walk	v	81082	253671
walking	walk	v	57982	253671
walks	walk	v	22419	253671
door	door	n	210094	252623
doors	door	n	42529	252623
white	white	j	250592	251664
whiter	white	j	796	251664
whitest	white	j	276	251664
several	several	d	251543	251543
court	court	n	216977	250891
courts	court	n	33913	250891
home	home	r	250331	250331
grow	grow	v	76073	248803
grew	grow	v	65518	248803
growing	grow	v	48845	248803
grown	grow	v	42869	248803
grows	grow	v	15400	248803
growed	grow	v	98	248803
better	better	j	247452	247453
open	open	v	109760	247043
opened	open	v	81302	247043
opens	open	v	27991	247043
opening	open	v	27990	247043
moment	moment	n	200186	246362
moments	moment	n	46162	246362
mo-ment	moment	n	14	246362
including	including	i	245445	245445
consider	consider	v	110596	244644
considered	consider	v	105148	244644
considering	consider	v	17399	244644
considers	consider	v	11501	244644
both	both	r	244397	244397
such	such	i	244165	244165
little	little	r	244049	244049
within	within	i	243714	243714
second	second	m	243485	243485
late	late	j	140170	242755
latest	late	j	65114	242755
later	late	j	37471	242755
street	street	n	188599	242552
streets	street	n	53953	242552
free	free	j	240518	242338
freer	free	j	1590	242338
freest	free	j	229	242338
better	better	r	241827	241827
everyone	everyone	p	241252	241313
every-one	everyone	p	61	241313
policy	policy	n	175619	240181
policies	policy	n	64562	240181
table	table	n	215946	238887
tables	table	n	22941	238887
sorry	sorry	j	237311	237541
sorrier	sorry	j	123	237541
sorriest	sorry	j	107	237541
care	care	n	236433	237259
cares	care	n	826	237259
low	low	j	130830	237027
lower	low	j	90630	237027
lowest	low	j	15567	237027
human	human	j	236187	236187
please	please	r	236175	236175
hope	hope	v	147228	235945
hoping	hope	v	46166	235945
hoped	hope	v	26452	235945
hopes	hope	v	16099	235945
TRUE	TRUE	j	233661	235467
truer	TRUE	j	1016	235467
truest	TRUE	j	790	235467
process	process	n	203892	235304
processes	process	n	31412	235304
teachers	teacher	n	127896	234642
teacher	teacher	n	106746	234642
data	data	n	234501	234516
datas	data	n	15	234516
offer	offer	v	87332	234189
offered	offer	v	71567	234189
offers	offer	v	42663	234189
offering	offer	v	32627	234189
death	death	n	207362	233153
deaths	death	n	25791	233153
whole	whole	j	233110	233110
experience	experience	n	178536	232376
experiences	experience	n	53840	232376
plan	plan	n	159623	231629
plans	plan	n	72006	231629
easy	easy	j	163364	231262
easier	easy	j	60602	231262
easiest	easy	j	7295	231262
education	education	n	230247	231036
educations	education	n	789	231036
built	build	v	92393	230071
build	build	v	92282	230071
building	build	v	37096	230071
builds	build	v	8246	230071
builded	build	v	54	230071
expect	expect	v	100933	229855
expected	expect	v	93840	229855
expecting	expect	v	21914	229855
expects	expect	v	13168	229855
fell	fall	v	73326	229161
fall	fall	v	70336	229161
falling	fall	v	38929	229161
fallen	fall	v	24425	229161
falls	fall	v	22131	229161
falled	fall	v	14	229161
himself	himself	p	228309	228757
hisself	himself	p	399	228757
him-self	himself	p	48	228757
age	age	n	196589	228610
ages	age	n	32021	228610
hard	hard	j	198220	228234
harder	hard	j	21322	228234
hardest	hard	j	8692	228234
sense	sense	n	216464	226539
senses	sense	n	9703	226539
sensei	sense	n	372	226539
across	across	i	226402	226402
show	show	n	187869	225884
shows	show	n	38015	225884
early	early	j	178363	224665
earlier	early	j	36555	224665
earliest	early	j	9747	224665
college	college	n	198523	224634
colleges	college	n	26111	224634
music	music	n	222329	222767
musics	music	n	438	222767
appear	appear	v	73910	221287
appears	appear	v	71152	221287
appeared	appear	v	65512	221287
appearing	appear	v	10713	221287
mind	mind	n	188684	220441
minds	mind	n	31757	220441
class	class	n	168761	219160
classes	class	n	50399	219160
police	police	n	219000	219041
po-lice	police	n	41	219041
use	use	n	205665	218006
uses	use	n	12341	218006
effect	effect	n	126424	217999
effects	effect	n	91575	217999
season	season	n	190057	217695
seasons	season	n	27638	217695
tax	tax	n	146047	217131
taxes	tax	n	69910	217131
